opportunity_key,introduction,diligence,proposal,negotiation,closing,org_industry_name,sos_opprtnty_est_value,final_status
99140042,0.0,0.0,0.0,0.0,0.0,Unavailable,1800.0,Won
99140043,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,6400.0,Won
99140044,0.0,0.0,0.0,0.0,0.0,Other,36000.0,Won
99140045,0.0,0.0,0.0,0.0,0.0,Consulting,4000.0,Won
99140046,0.0,0.0,0.0,0.0,0.0,Online Services,36000.0,Won
99140047,0.0,0.0,0.0,0.0,0.0,Apparel,27000.0,Won
99140048,0.0,0.0,0.0,0.0,0.0,Technology,120000.0,Lost
99140049,0.0,0.0,0.0,0.0,0.0,Banking,70000.0,Lost
991400410,0.0,0.0,0.0,0.0,0.0,Unavailable,120000.0,Lost
991400411,0.0,0.0,0.0,0.0,0.0,Technology,50000.0,Lost
991400412,0.0,0.0,0.0,0.0,0.0,Consulting,30000.0,Lost
991400413,0.0,0.0,0.0,0.0,0.0,Online Services,106000.0,Lost
991400414,0.0,0.0,0.0,0.0,0.0,Unavailable,40000.0,Lost
991400415,0.0,0.0,0.0,0.0,0.0,Online Games,120000.0,Lost
991400416,0.0,0.0,0.0,0.0,0.0,Unavailable,60000.0,Lost
991400417,0.0,0.0,0.0,0.0,0.0,Retail,7000.0,Won
991400418,0.0,0.0,0.0,0.0,0.0,Electronics,1600.0,Lost
991400419,0.0,0.0,0.0,0.0,0.0,Construction,1600.0,Lost
991400420,0.0,0.0,0.0,0.0,0.0,Apparel,15000.0,Lost
991400421,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,120000.0,Lost
991400422,0.0,0.0,0.0,0.0,0.0,Banking,40000.0,Lost
991400423,0.0,0.0,0.0,0.0,0.0,Technology,100000.0,Lost
991400424,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,100000.0,Lost
991400425,0.0,0.0,0.0,0.0,0.0,Media & Publishing,28000.0,Won
991400426,0.0,0.0,0.0,0.0,0.0,Apparel,30000.0,Lost
991400427,0.0,0.0,0.0,0.0,0.0,Retail,10000.0,Won
991400428,0.0,0.0,0.0,0.0,0.0,Beauty & Fitness,4410.0,Won
991400429,0.0,0.0,0.0,0.0,0.0,Unavailable,50000.0,Lost
991400430,0.0,0.0,0.0,0.0,0.0,Education,60000.0,Lost
991400431,0.0,0.0,0.0,0.0,0.0,Unavailable,25000.0,Lost
991400432,0.0,0.0,0.0,0.0,0.0,Technology,10000.0,Lost
991400433,0.0,0.0,0.0,0.0,0.0,Technology,80000.0,Lost
991400434,0.0,0.0,0.0,0.0,0.0,Banking,100000.0,Lost
991400435,0.0,0.0,0.0,0.0,0.0,Electronics,20000.0,Lost
991400436,0.0,0.0,0.0,0.0,0.0,Communications,120000.0,Lost
991400437,0.0,0.0,0.0,0.0,0.0,Apparel,41400.0,Lost
991400438,0.0,0.0,0.0,0.0,0.0,Apparel,50000.0,Lost
991400470,0.0,0.0,0.0,0.0,0.0,Automotive,15500.0,Won
991400471,0.0,0.0,0.0,0.0,0.0,Telecommunications,13440.0,Won
991400472,0.0,0.0,0.0,0.0,0.0,Technology,14000.0,Won
991400473,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,40000.0,Lost
991400474,0.0,0.0,0.0,0.0,0.0,Telecommunications,5040.0,Won
991400475,0.0,0.0,0.0,0.0,0.0,Education,17000.0,Lost
991400476,0.0,0.0,0.0,0.0,0.0,Online Services,32000.0,Lost
991400477,0.0,0.0,0.0,0.0,0.0,Education,21000.0,Lost
991400478,0.0,0.0,0.0,0.0,0.0,Finance,4150.0,Lost
991400479,0.0,0.0,0.0,0.0,0.0,Online Games,24900.0,Won
991400480,0.0,0.0,0.0,0.0,0.0,Retail,50400.0,Won
991400481,0.0,0.0,0.0,0.0,0.0,Electronics,4140.0,Won
991400482,0.0,0.0,0.0,0.0,0.0,Automotive,36300.0,Won
991400483,0.0,0.0,0.0,0.0,0.0,Retail,30000.0,Lost
991400484,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,1200.0,Lost
991400485,0.0,0.0,0.0,0.0,0.0,Government,25000.0,Lost
991400486,0.0,0.0,0.0,0.0,0.0,Telecommunications,800.0,Lost
9914004179,0.0,0.0,0.0,0.0,0.0,Communications,0.0,Lost
9914004180,0.0,0.0,0.0,0.0,0.0,Unavailable,40000.0,Lost
9914004181,0.0,0.0,0.0,0.0,0.0,Unavailable,30000.0,Lost
9914004182,0.0,207.0,0.0,0.0,0.0,Unavailable,30000.0,Lost
9914004183,0.0,0.0,0.0,0.0,0.0,Agency,7600.0,Won
9914004184,0.0,0.0,0.0,0.0,0.0,Unavailable,10000.0,Lost
9914004185,0.0,334.0,0.0,0.0,0.0,Retail,60000.0,Lost
9914004186,0.0,0.0,0.0,0.0,0.0,Government,53100.0,Won
9914004187,0.0,0.0,0.0,0.0,0.0,Unavailable,0.0,Lost
9914004188,0.0,0.0,0.0,0.0,0.0,Retail,24000.0,Lost
9914004189,0.0,0.0,0.0,0.0,0.0,Consulting,30000.0,Lost
9914004190,0.0,0.0,0.0,0.0,0.0,Electronics,30000.0,Lost
9914004191,0.0,0.0,0.0,0.0,0.0,Retail,35000.0,Lost
9914004192,0.0,0.0,0.0,0.0,0.0,Media & Publishing,30000.0,Won
9914004193,0.0,0.0,0.0,0.0,0.0,Consulting,24000.0,Won
9914004194,0.0,0.0,0.0,0.0,0.0,Retail,54000.0,Lost
9914004195,0.0,0.0,0.0,0.0,0.0,Financial & Insurance Services,6000.0,Won
9914004196,0.0,0.0,0.0,0.0,0.0,Online Services,24000.0,Won
9914004197,0.0,0.0,0.0,0.0,0.0,Not For Profit,30000.0,Lost
9914004198,0.0,0.0,0.0,0.0,0.0,Telecommunications,24000.0,Won
9914004199,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,30000.0,Lost
9914004200,0.0,0.0,0.0,0.0,0.0,Unavailable,25000.0,Lost
9914004201,0.0,0.0,0.0,0.0,0.0,Media & Publishing,24000.0,Won
9914004202,0.0,0.0,0.0,0.0,0.0,Media & Publishing,30000.0,Lost
9914004203,0.0,0.0,0.0,0.0,0.0,Media & Publishing,84000.0,Lost
9914004204,0.0,0.0,0.0,0.0,0.0,Retail,54000.0,Won
9914004205,0.0,0.0,0.0,0.0,0.0,Media & Publishing,0.0,Lost
9914004206,0.0,102.0,0.0,0.0,0.0,Healthcare,70000.0,Lost
9914004207,0.0,0.0,147.0,0.0,0.0,Retail,30000.0,Lost
9914004209,0.0,0.0,0.0,0.0,0.0,Retail,30000.0,Lost
9914004210,0.0,0.0,0.0,0.0,0.0,Retail,50000.0,Won
9914004211,206.0,0.0,0.0,0.0,0.0,Apparel,30000.0,Lost
9914004212,0.0,0.0,0.0,0.0,0.0,Apparel,54000.0,Lost
9914004213,0.0,0.0,0.0,0.0,0.0,Retail,30000.0,Lost
9914004214,0.0,0.0,0.0,0.0,0.0,Banking,106000.0,Lost
9914004215,0.0,0.0,0.0,0.0,0.0,Retail,82000.0,Lost
9914004216,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,135000.0,Won
9914004217,0.0,0.0,0.0,0.0,0.0,Telecommunications,75000.0,Lost
9914004218,0.0,0.0,0.0,0.0,0.0,Retail,30000.0,Lost
9914004219,0.0,0.0,0.0,0.0,0.0,Manufacturing,106000.0,Lost
9914004220,0.0,0.0,0.0,0.0,0.0,Retail,36000.0,Won
9914004221,0.0,68.0,0.0,0.0,0.0,Retail,30000.0,Lost
9914004222,0.0,0.0,0.0,0.0,0.0,Retail,36000.0,Won
9914004223,0.0,529.0,0.0,0.0,0.0,Travel / Hospitality,30000.0,Lost
9914004224,114.0,0.0,0.0,0.0,0.0,Unavailable,0.0,Lost
9914004225,0.0,0.0,0.0,0.0,0.0,Technology,0.0,Lost
9914004226,0.0,0.0,0.0,0.0,0.0,Unavailable,0.0,Lost
9914004227,0.0,0.0,0.0,0.0,0.0,Media & Publishing,0.0,Lost
9914004228,0.0,33.0,0.0,0.0,0.0,Other,30000.0,Lost
9914004229,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,30000.0,Lost
9914004230,0.0,0.0,0.0,0.0,0.0,Unavailable,0.0,Lost
9914004231,0.0,0.0,0.0,0.0,0.0,Travel / Hospitality,25300.0,Won
9914004232,0.0,0.0,0.0,0.0,0.0,Telecommunications,55000.0,Won
9914004233,0.0,0.0,0.0,0.0,0.0,Technology,24000.0,Lost
9914004234,0.0,0.0,0.0,0.0,0.0,Communications,30000.0,Won
9914004235,0.0,53.0,0.0,0.0,0.0,Retail,30000.0,Lost
9914004236,0.0,0.0,0.0,0.0,0.0,Financial & Insurance Services,6000.0,Lost
9914004237,0.0,0.0,0.0,0.0,0.0,Retail,24000.0,Won
9914004238,0.0,0.0,63.0,0.0,0.0,Other,30000.0,Lost
9914004239,0.0,0.0,0.0,0.0,0.0,Retail,28000.0,Won
9914004240,0.0,0.0,0.0,0.0,0.0,Media & Publishing,144000.0,Won
